date,price,open,high,low,vol,change
11/08/17,840000,840000,860000,800000,-,0.00%
11/09/17,891000,840000,924900,825000,-,6.07%
11/10/17,809100,891000,910000,760000,-,-9.19%
11/11/17,863900,809100,889900,801400,-,6.77%
11/12/17,830000,863900,866000,770000,-,-3.92%
11/13/17,854800,830000,870500,817100,-,2.99%
11/14/17,871600,854800,886000,839800,-,1.97%
11/15/17,867800,871600,921800,867800,-,-0.44%
11/16/17,950000,867800,998100,850500,-,9.47%
11/17/17,912600,949900,970000,880000,-,-3.94%
11/18/17,917100,912600,925000,885100,-,0.49%
11/19/17,947800,917100,960000,909800,-,3.35%
11/20/17,950800,940000,955000,931200,-,0.32%
11/21/17,941000,950800,963800,925100,-,-1.03%
11/22/17,945500,941000,949000,930600,-,0.48%
11/23/17,988800,945500,1018800,941600,-,4.58%
11/24/17,1040500,988800,1050000,980000,-,5.23%
11/25/17,1220100,1040500,1239800,1040500,-,17.26%
11/26/17,1191300,1210000,1220100,1139100,-,-2.36%
11/27/17,1264300,1191300,1279900,1180000,-,6.13%
11/28/17,1379000,1264300,1400000,1264300,-,9.07%
11/29/17,1270100,1379000,1532400,1240100,-,-7.90%
11/30/17,1333900,1270100,1429800,1183900,-,5.02%
12/01/17,1411500,1333900,1430000,1244600,-,5.82%
12/02/17,1436500,1411500,1486100,1387100,-,1.77%
12/03/17,1439000,1436500,1451400,1405900,-,0.17%
12/04/17,1440100,1439000,1445200,1401100,-,0.08%
12/05/17,1458900,1440100,1472000,1422100,-,1.31%
12/06/17,1550700,1458900,1550700,1425000,-,6.29%
12/07/17,1643900,1550700,1650500,1495000,-,6.01%
12/08/17,1940300,1643900,2150000,1540000,-,18.03%
12/09/17,2430000,1940300,2662700,1929900,-,25.24%
12/10/17,2325100,2430000,2430000,1910000,-,-4.32%
12/11/17,3155100,2325100,3340500,2261000,-,35.70%
12/12/17,4372000,3131300,4892000,3100600,-,38.57%
12/13/17,4474000,4372000,4870000,4250000,-,2.33%
12/14/17,3957000,4474000,4557000,3850000,-,-11.56%
12/15/17,4181000,3959000,4400000,3503000,-,5.66%
12/16/17,4026000,4180000,4340000,3995000,-,-3.71%
12/17/17,4389000,4026000,4444000,4026000,-,9.02%
12/18/17,4875000,4389000,4900000,4150000,-,11.07%
12/19/17,4962000,4875000,5100000,4690000,-,1.78%
12/20/17,4578000,4962000,4976000,4500000,-,-7.74%
12/21/17,4785000,4578000,4816000,4569000,-,4.52%
12/22/17,4193000,4785000,4785000,3493000,-,-12.37%
12/23/17,4500000,4193000,4610000,4112000,-,7.32%
12/24/17,4520000,4500000,4599000,4320000,-,0.44%
12/25/17,4547000,4520000,4705000,4500000,-,0.60%
12/26/17,4496000,4547000,4673000,4420000,-,-1.12%
12/27/17,4360000,4496000,4531000,4350000,-,-3.02%
12/28/17,4173000,4360000,4427000,4000000,-,-4.29%
12/29/17,3798000,4173000,4200000,3690000,-,-8.99%
12/30/17,3551000,3798000,3800000,3400000,-,-6.50%
12/31/17,3671000,3551000,3863000,3519000,-,3.38%
01/01/18,3610000,3671000,3723000,3555000,-,-1.66%
01/02/18,3845000,3609000,4099000,3600000,-,6.51%
01/03/18,3670000,3845000,3889000,3585000,-,-4.55%
01/04/18,3501000,3670000,3670000,3448000,-,-4.60%
01/05/18,3603000,3501000,3798000,3500000,-,2.91%
01/06/18,4036000,3604000,4580000,3568000,-,12.02%
01/07/18,4090000,4036000,4264000,4010000,-,1.34%
01/08/18,4050000,4089000,4173000,3803000,-,-0.98%
01/09/18,3989000,4050000,4092000,3900000,-,-1.51%
01/10/18,3781000,3989000,3990000,3605000,-,-5.21%
01/11/18,3626000,3781000,3854000,3600000,-,-4.10%
01/12/18,3682000,3631000,3745000,3549000,-,1.54%
01/13/18,3786000,3682000,3846000,3550000,-,2.82%
01/14/18,3400000,3786000,3898000,3125000,3.78K,-10.20%
01/15/18,3484000,3400000,3598000,3340000,1.50K,2.47%
01/16/18,2399000,3484000,3485000,1900000,3.29K,-31.14%
01/17/18,2506000,2399000,2653000,1900000,3.76K,4.46%
01/18/18,2718000,2506000,3068000,2440000,2.49K,8.46%
01/19/18,2749000,2718000,2799000,2587000,1.21K,1.14%
01/20/18,2943000,2749000,2980000,2749000,2.49K,7.06%
01/21/18,2740000,2943000,2960000,2605000,1.22K,-6.90%
01/22/18,2588000,2740000,2799000,2450000,1.70K,-5.55%
01/23/18,2431000,2588000,2600000,2351000,1.56K,-6.07%
01/24/18,2465000,2431000,2800000,2400000,2.47K,1.40%
01/25/18,2475000,2465000,2515000,2406000,0.93K,0.41%
01/26/18,2410000,2475000,2490000,2308000,0.84K,-2.63%
01/27/18,2427000,2410000,2475000,2360000,0.47K,0.71%
01/28/18,2606000,2427000,2609000,2427000,0.97K,7.38%
01/29/18,2450000,2606000,2607000,2428000,0.52K,-5.99%
01/30/18,2318000,2450000,2490000,2308000,0.89K,-5.39%
01/31/18,2255000,2318000,2360000,2170000,0.54K,-2.72%
02/01/18,1999000,2255000,2325000,1890000,1.02K,-11.35%
02/02/18,1820000,1999000,1999000,1423000,2.16K,-8.95%
02/03/18,2138000,1820000,2199000,1630000,1.83K,17.47%
02/04/18,2093000,2138000,2350000,1970000,6.87K,-2.10%
02/05/18,1725000,2093000,2135000,1686000,3.25K,-17.58%
02/06/18,1965000,1725000,1995000,1450000,4.01K,13.91%
02/07/18,1921000,1965000,2190000,1813000,2.50K,-2.24%
02/08/18,2080000,1921000,2192000,1903000,2.20K,8.28%
02/09/18,2225000,2080000,2230000,2008000,1.50K,6.97%
02/10/18,2120000,2225000,2314000,2054000,2.80K,-4.72%
02/11/18,2075000,2120000,2171000,1950000,0.98K,-2.12%
02/12/18,2209000,2075000,2240000,2070000,1.16K,6.46%
02/13/18,2208000,2209000,2230000,2141000,0.81K,-0.05%
02/14/18,2960000,2209000,3040000,2209000,18.69K,34.06%
02/15/18,3053000,2960000,3399000,2851000,14.67K,3.14%
02/16/18,3112000,3049000,3224000,2891000,5.09K,1.93%
02/17/18,3141000,3112000,3193000,3060000,2.28K,0.93%
02/18/18,3003000,3141000,3244000,2940000,4.10K,-4.39%
02/19/18,3055000,3003000,3129000,3000000,1.98K,1.73%
02/20/18,3195000,3068000,3480000,3020000,8.82K,4.58%
02/21/18,3030000,3195000,3273000,2895000,3.17K,-5.16%
02/22/18,2804000,3030000,3153000,2703000,1.80K,-7.46%
02/23/18,2974000,2804000,3066000,2570000,2.18K,6.06%
02/24/18,3021000,2974000,3098000,2864000,1.84K,1.58%
02/25/18,3152000,3021000,3205000,2912000,2.42K,4.34%
02/26/18,3084000,3152000,3350000,3050000,5.27K,-2.16%
02/27/18,3010000,3084000,3124000,3000000,2.35K,-2.40%
02/28/18,2883000,3010000,3100000,2880000,1.39K,-4.22%
03/01/18,2910000,2883000,2985000,2821000,1.02K,0.94%
03/02/18,2944000,2910000,2950000,2839000,0.77K,1.17%
03/03/18,2863000,2944000,3007000,2850000,1.50K,-2.75%
03/04/18,2923000,2863000,2935000,2854000,0.69K,2.10%
03/05/18,2888000,2923000,2955000,2844000,1.09K,-1.20%
03/06/18,2727000,2888000,2896000,2700000,0.81K,-5.57%
03/07/18,2642000,2727000,2806000,2501000,1.05K,-3.12%
03/08/18,2500000,2642000,2689000,2500000,1.07K,-5.37%
03/09/18,2635000,2500000,2693000,2262000,2.07K,5.40%
03/10/18,2545000,2635000,2784000,2523000,1.53K,-3.42%
03/11/18,2615000,2545000,2700000,2501000,1.09K,2.75%
03/12/18,2526000,2615000,2681000,2500000,0.91K,-3.40%
03/13/18,2472000,2526000,2560000,2450000,1.00K,-2.14%
03/14/18,2269000,2472000,2494000,2267000,0.93K,-8.21%
03/15/18,2295000,2269000,2355000,2096000,1.70K,1.15%
03/16/18,2311000,2295000,2385000,2209000,0.92K,0.70%
03/17/18,2167000,2311000,2313000,2112000,0.55K,-6.23%
03/18/18,2133000,2167000,2173000,1911000,1.21K,-1.57%
03/19/18,2236000,2133000,2260000,2093000,0.97K,4.83%
03/20/18,2345000,2236000,2393000,2208000,0.91K,4.87%
03/21/18,2352000,2345000,2460000,2311000,0.91K,0.30%
03/22/18,2330000,2352000,2430000,2253000,0.47K,-0.94%
03/23/18,2360000,2330000,2360000,2221000,0.43K,1.29%
03/24/18,2275000,2359000,2373000,2260000,0.36K,-3.60%
03/25/18,2281000,2275000,2307000,2250000,0.26K,0.26%
03/26/18,2115000,2281000,2300000,2020000,0.77K,-7.28%
03/27/18,1940000,2115000,2126000,1940000,0.80K,-8.27%
03/28/18,1853000,1940000,1968000,1850000,1.03K,-4.48%
03/29/18,1635000,1853000,1860000,1597000,1.25K,-11.76%
03/30/18,1677000,1635000,1787000,1538000,1.18K,2.57%
03/31/18,1650000,1677000,1750000,1650000,0.70K,-1.61%
04/01/18,1610000,1653000,1670000,1541000,0.97K,-2.42%
04/02/18,1654000,1610000,1693000,1604000,0.65K,2.73%
04/03/18,1871000,1654000,1899000,1654000,1.01K,13.12%
04/04/18,1679000,1871000,1886000,1631000,0.93K,-10.26%
04/05/18,1660000,1679000,1710000,1605000,0.37K,-1.13%
04/06/18,1605000,1660000,1679000,1582000,0.51K,-3.31%
04/07/18,1630000,1605000,1670000,1592000,0.53K,1.56%
04/08/18,1632000,1630000,1643000,1600000,0.58K,0.12%
04/09/18,1605000,1632000,1685000,1586000,0.53K,-1.65%
04/10/18,1600000,1605000,1623000,1585000,0.50K,-0.31%
04/11/18,1610000,1600000,1631000,1575000,1.09K,0.63%
04/12/18,1732000,1610000,1740000,1570000,2.94K,7.58%
04/13/18,1669000,1732000,1773000,1638000,1.87K,-3.64%
04/14/18,1675000,1669000,1700000,1640000,0.91K,0.36%
