date,price,open,high,low,vol,change
10/24/17,2840,2690,2945,2601,-,5.58%
10/25/17,2794,2840,2851,2742,-,-1.62%
10/26/17,2785,2794,2820,2761,-,-0.32%
10/27/17,2774,2785,2799,2760,-,-0.39%
10/28/17,2759,2774,2790,2758,-,-0.54%
10/29/17,2690,2759,2767,2680,-,-2.50%
10/30/17,2736,2690,2758,2680,-,1.71%
10/31/17,2667,2736,2751,2667,-,-2.52%
11/01/17,2580,2667,2715,2578,-,-3.26%
11/02/17,2713,2580,2780,2450,-,5.16%
11/03/17,2802,2713,3000,2650,-,3.28%
11/04/17,2725,2805,2817,2721,-,-2.75%
11/05/17,2727,2725,2750,2674,-,0.07%
11/06/17,2815,2727,2826,2700,-,3.23%
11/07/17,2832,2815,2868,2758,-,0.60%
11/08/17,2915,2832,2990,2782,-,2.93%
11/09/17,3010,2915,3055,2900,-,3.26%
11/10/17,2801,3010,3011,2801,-,-6.94%
11/11/17,2891,2801,2978,2788,-,3.21%
11/12/17,2747,2891,2894,2502,-,-4.98%
11/13/17,2806,2747,2870,2682,-,2.15%
11/14/17,2900,2806,2940,2800,-,3.35%
11/15/17,2871,2900,2930,2827,-,-1.00%
11/16/17,3020,2871,3817,2800,-,5.19%
11/17/17,3031,3020,3350,2951,-,0.36%
11/18/17,3034,3031,3094,2920,-,0.10%
11/19/17,3050,3034,3147,3001,-,0.53%
11/20/17,3164,3050,3202,3050,-,3.74%
11/21/17,3117,3164,3197,3107,-,-1.49%
11/22/17,3163,3117,3199,3112,-,1.48%
11/23/17,3250,3162,3400,3123,-,2.75%
11/24/17,3240,3251,3325,3150,-,-0.31%
11/25/17,3380,3240,3415,3227,-,4.32%
11/26/17,3405,3380,3423,3348,-,0.74%
11/27/17,3447,3405,3479,3382,-,1.23%
11/28/17,4152,3448,4169,3441,-,20.45%
11/29/17,3548,4152,4170,3520,-,-14.55%
11/30/17,3608,3550,3837,3325,-,1.69%
12/01/17,3584,3605,3630,3450,-,-0.67%
12/02/17,3569,3584,3620,3471,-,-0.42%
12/03/17,3520,3569,3574,3500,-,-1.37%
12/04/17,3470,3520,3527,3451,-,-1.42%
12/05/17,3443,3472,3499,3424,-,-0.78%
12/06/17,3495,3444,3650,3327,-,1.51%
12/07/17,3551,3495,3750,3393,-,1.60%
12/08/17,3791,3551,4881,3525,-,6.76%
12/09/17,3850,3791,4098,3710,-,1.56%
12/10/17,3700,3850,3978,3417,-,-3.90%
12/11/17,3705,3700,3789,3640,-,0.14%
12/12/17,5311,3705,6200,3685,-,43.35%
12/13/17,6911,5371,7371,5110,-,30.13%
12/14/17,11951,6911,12350,6600,-,72.93%
12/15/17,10741,11949,11950,9006,-,-10.12%
12/16/17,10339,10740,11221,10020,-,-3.74%
12/17/17,10050,10339,10454,9809,-,-2.80%
12/18/17,10360,10050,10700,9635,-,3.08%
12/19/17,10678,10360,11319,10300,-,3.07%
12/20/17,10610,10679,10987,9724,-,-0.64%
12/21/17,17685,10747,17685,10611,-,66.68%
12/22/17,17005,17640,19502,13446,-,-3.85%
12/23/17,16832,17005,17500,16201,-,-1.02%
12/24/17,16903,16831,17979,15676,-,0.42%
12/25/17,17000,16905,17401,16502,-,0.57%
12/26/17,17222,17001,17981,15700,-,1.31%
12/27/17,19989,17205,21310,17138,-,16.07%
12/28/17,21455,19989,22850,19509,-,7.33%
12/29/17,29850,21265,30891,21191,-,39.13%
12/30/17,32108,29886,38499,29300,-,7.56%
12/31/17,31999,32105,34243,26701,-,-0.34%
01/01/18,33090,31999,33500,30509,-,3.41%
01/02/18,33625,33011,34842,30499,-,1.62%
01/03/18,41001,33556,42229,32400,-,21.94%
01/04/18,40400,41001,52249,38500,-,-1.47%
01/05/18,37500,40700,46598,34300,-,-7.18%
01/06/18,39197,37000,41939,36506,-,4.53%
01/07/18,41800,39190,42521,38601,-,6.64%
01/08/18,38538,41801,41801,33000,-,-7.80%
01/09/18,34000,38501,39439,31362,-,-11.78%
01/10/18,29798,34000,34470,27141,-,-12.36%
01/11/18,31196,29780,35299,25426,-,4.69%
01/12/18,31451,31196,34546,29800,-,0.82%
01/13/18,29470,31451,32454,28216,-,-6.30%
01/14/18,26409,29470,29470,24252,2.69M,-10.39%
01/15/18,25001,26409,28295,24772,1.79M,-5.33%
01/16/18,15016,25001,25250,10853,6.10M,-39.94%
01/17/18,18200,15016,18800,11809,6.28M,21.20%
01/18/18,22806,18265,24450,16800,7.51M,25.31%
01/19/18,21975,22805,24279,20999,3.70M,-3.64%
01/20/18,22150,21975,22579,21500,2.79M,0.80%
01/21/18,19695,22150,22200,18880,3.33M,-11.08%
01/22/18,19275,19695,20498,16810,3.38M,-2.13%
01/23/18,18152,19275,19330,17050,2.75M,-5.83%
01/24/18,18682,18152,19456,18000,2.18M,2.92%
01/25/18,18100,18625,19239,17750,2.72M,-3.12%
01/26/18,16500,18100,18195,15679,4.55M,-8.84%
01/27/18,16395,16500,16840,16242,1.26M,-0.64%
01/28/18,18169,16395,18500,16390,2.69M,10.82%
01/29/18,17107,18169,18199,17010,2.19M,-5.85%
01/30/18,15536,17107,17336,15529,2.56M,-9.18%
01/31/18,15598,15536,16210,14198,2.12M,0.40%
02/01/18,13106,15598,15830,12700,2.50M,-15.98%
02/02/18,12299,13195,13500,9000,5.98M,-6.16%
02/03/18,12817,12299,13500,10651,2.95M,4.21%
02/04/18,11500,12817,12960,11220,1.59M,-10.28%
02/05/18,9498,11500,11700,9060,2.22M,-17.41%
02/06/18,10539,9498,10551,8011,4.42M,10.96%
02/07/18,10021,10539,11309,9600,2.65M,-4.92%
02/08/18,10899,10021,10948,10000,1.57M,8.76%
02/09/18,12401,10899,12480,10494,3.28M,13.78%
02/10/18,14131,12401,17125,12252,10.36M,13.95%
02/11/18,13400,14295,14399,12508,4.78M,-5.17%
02/12/18,14446,13400,14790,13400,3.31M,7.81%
02/13/18,13816,14446,14448,13550,2.22M,-4.36%
02/14/18,15755,13816,15980,13800,4.24M,14.03%
02/15/18,15201,15755,16101,14601,4.55M,-3.52%
02/16/18,15196,15200,15355,14818,1.05M,-0.03%
02/17/18,16100,15196,16442,15150,2.54M,5.95%
02/18/18,15154,16100,16187,14524,2.23M,-5.88%
02/19/18,15286,15154,15485,15028,934.83K,0.87%
02/20/18,14360,15286,15400,14250,1.69M,-6.06%
02/21/18,13702,14360,14697,13334,2.44M,-4.58%
02/22/18,13196,13703,14231,12513,1.53M,-3.69%
02/23/18,13566,13195,13962,12317,1.16M,2.80%
02/24/18,13111,13566,13800,12800,1.03M,-3.35%
02/25/18,13000,13111,13443,12750,704.01K,-0.85%
02/26/18,13002,13000,13201,12601,707.73K,0.02%
02/27/18,13075,13002,13300,12950,414.62K,0.56%
02/28/18,12600,13075,13149,12600,546.07K,-3.63%
03/01/18,12688,12600,13199,12378,741.33K,0.70%
03/02/18,12450,12688,12703,12450,465.19K,-1.88%
03/03/18,12398,12450,12647,12300,676.28K,-0.42%
03/04/18,13690,12398,13961,12330,1.69M,10.42%
03/05/18,12990,13690,14760,12957,2.69M,-5.11%
03/06/18,12651,12990,13645,12568,1.30M,-2.61%
03/07/18,11972,12651,12938,11250,1.72M,-5.37%
03/08/18,11551,11972,12481,11551,991.46K,-3.52%
03/09/18,11788,11551,11925,10531,1.18M,2.05%
03/10/18,11200,11788,12000,11121,542.15K,-4.99%
03/11/18,11338,11200,11595,10839,462.32K,1.23%
03/12/18,11125,11338,11500,10900,481.42K,-1.88%
03/13/18,10980,11125,11215,10805,339.90K,-1.30%
03/14/18,9702,10980,11063,9500,1.02M,-11.64%
03/15/18,9689,9702,10183,8600,1.32M,-0.13%
03/16/18,9540,9689,9902,9250,526.55K,-1.54%
03/17/18,8902,9540,9623,8716,542.09K,-6.69%
03/18/18,9118,8902,9351,7510,1.06M,2.43%
03/19/18,10052,9118,10100,8800,1.31M,10.24%
03/20/18,9755,10052,10171,9250,1.45M,-2.95%
03/21/18,9530,9755,9999,9350,1.34M,-2.31%
03/22/18,9284,9530,9699,8850,792.58K,-2.58%
03/23/18,8984,9284,9284,8777,633.21K,-3.23%
03/24/18,8900,8984,9461,8900,665.07K,-0.93%
03/25/18,9061,8900,9225,8895,299.92K,1.81%
03/26/18,8350,9061,9097,8170,946.76K,-7.85%
03/27/18,8097,8350,8445,7860,482.69K,-3.03%
03/28/18,8030,8097,8220,7992,296.23K,-0.83%
03/29/18,7100,8030,8100,7100,750.45K,-11.58%
03/30/18,7034,7100,7550,6650,1.04M,-0.93%
03/31/18,7052,7034,7333,6920,569.24K,0.26%
04/01/18,6730,7052,7145,6401,1.14M,-4.57%
04/02/18,6911,6730,6969,6623,901.74K,2.69%
04/03/18,7675,6911,7710,6845,1.72M,11.05%
04/04/18,6903,7671,7749,6836,1.23M,-10.06%
04/05/18,6878,6903,7000,6752,358.03K,-0.36%
04/06/18,6616,6878,6950,6571,509.26K,-3.81%
04/07/18,6801,6616,6920,6616,254.87K,2.80%
04/08/18,6899,6801,6929,6794,220.33K,1.44%
04/09/18,6793,6899,7047,6679,622.40K,-1.54%
04/10/18,6825,6793,6900,6706,182.09K,0.47%
04/11/18,7401,6825,7500,6761,460.66K,8.44%
04/12/18,8650,7401,8825,6999,2.02M,16.88%
04/13/18,8538,8650,9300,8226,2.16M,-1.29%
